Report Date,General Location,latitude,longitude,Nature,Disposition
1/4/2023,"S Randolphville Rd, Piscataway, NJ 08854",40.5452498,-74.4590408,Traffic Violations,Closed
1/9/2023,"Northern Blvd & Grand Central Pkwy, Berkeley Township, NJ 08721",39.902782,-74.2073488,Drug-Related Offenses,Open/Pending
1/11/2023,"New Brunswick, NJ 08901",40.4861552,-74.45185,Drug-Related Offenses,Open/Pending
1/16/2023,"Bartlett St & Easton Ave, New Brunswick, NJ 08901",40.5000957,-74.4546514,Shooting,Closed
1/16/2024,"JOHNSON AND JOHNSON WHQ, Rutgers University, NJ",40.4979551,-74.4430644,Weapons Offenses,Closed
1/18/2024,"LOREE GYMNASIUM, Rutgers University, NJ",40.4832823,-74.4352698,Vandalism,Closed
1/18/2024,"ALEXANDER LIBRARY, Rutgers University, NJ",40.5049845,-74.4524606,Theft,Closed
1/19/2023,"South Plainfield, New Jersey 07080",40.56829,-74.4173877,Assault,Closed
1/19/2024,"CHABAD HOUSE, Rutgers University, NJ",40.0583238,-74.4056612,Theft,Closed
1/19/2024,"MINE ST - NEW BRUNSWICK, Rutgers University, NJ",40.5008405,-74.4474174,DUI/DWI Offenses,Closed
1/19/2024,"HICKMAN HALL, Rutgers University, NJ",40.4847582,-74.4341927,Burglary,Closed
1/19/2024,"LOT 712, Rutgers University, NJ",40.0583238,-74.4056612,Assault,Closed
1/20/2024,"APARTMENTS 145- 160, Rutgers University, NJ",40.0583238,-74.4056612,Theft,Closed
1/20/2024,"NICHOLS APARTMENTS 1- 24, Rutgers University, NJ",40.5276939,-74.4674157,Sexual Assault,Closed
1/20/2024,"CHABAD HOUSE, Rutgers University, NJ",40.0583238,-74.4056612,Fraud/Identity Theft,Closed
1/20/2024,"HICKMAN HALL, Rutgers University, NJ",40.4847582,-74.4341927,Vandalism,Closed
1/21/2024,"HICKMAN HALL, Rutgers University, NJ",40.4847582,-74.4341927,Vandalism,Closed
1/22/2024,"NEWELL APARTMENTS 45- 56, Rutgers University, NJ",40.4775045,-74.4298463,Vandalism,Closed
1/22/2024,"NEWELL APARTMENTS 45- 56, Rutgers University, NJ",40.4775045,-74.4298463,Burglary,Closed
1/22/2024,"CIVIC SQUARE AND PARKING DECK, New Brunswick, NJ",40.4862157,-74.4518188,Theft,Closed
1/22/2024,"DEMAREST HALL, Rutgers University, NJ",40.5035099,-74.4503399,Theft,Closed
1/23/2024,"HICKMAN HALL, Rutgers University, NJ",40.4847582,-74.4341927,Vandalism,Closed
1/23/2024,"46 Biel Rd, New Brunswick, NJ 08901",40.4785311,-74.4297889,Theft,Closed
1/23/2024,"COLLEGE AVE GYM, Rutgers University, NJ",40.5032076,-74.4527639,Theft,Closed
1/24/2024,"LOT 12, Rutgers University, NJ",40.0583238,-74.4056612,Vandalism,Closed
